"","state","ElectoralVote","winner"
"1","Alabama",9,"Trump"
"2","Alaska",3,"Trump"
"3","Arizona",11,"Trump"
"4","Arkansas",6,"Trump"
"5","California",55,"Clinton"
"6","Colorado",9,"Clinton"
"7","Connecticut",7,"Clinton"
"8","Delaware",3,"Clinton"
"9","District of Columbia",3,"Clinton"
"10","Florida",29,"Clinton"
"11","Georgia",16,"Trump"
"12","Hawaii",4,"Clinton"
"13","Idaho",4,"Trump"
"14","Illinois",20,"Clinton"
"15","Indiana",11,"Trump"
"16","Iowa",6,"Trump"
"17","Kansas",6,"Trump"
"18","Kentucky",8,"Trump"
"19","Louisiana",8,"Trump"
"20","Maine",2,"Clinton"
"21","Maine CD-1",1,"Clinton"
"22","Maine CD-2",1,"Trump"
"23","Maryland",10,"Clinton"
"24","Massachusetts",11,"Clinton"
"25","Michigan",16,"Clinton"
"26","Minnesota",10,"Clinton"
"27","Mississippi",6,"Trump"
"28","Missouri",10,"Trump"
"29","Montana",3,"Trump"
"30","Nebraska",2,"Trump"
"31","Nebraska CD-1",1,"Trump"
"32","Nebraska CD-2",1,"Trump"
"33","Nebraska CD-3",1,"Trump"
"34","Nevada",6,"Clinton"
"35","New Hampshire",4,"Clinton"
"36","New Jersey",14,"Clinton"
"37","New Mexico",5,"Clinton"
"38","New York",29,"Clinton"
"39","North Carolina",15,"Clinton"
"40","North Dakota",3,"Trump"
"41","Ohio",18,"Trump"
"42","Oklahoma",7,"Trump"
"43","Oregon",7,"Clinton"
"44","Pennsylvania",20,"Clinton"
"45","Rhode Island",4,"Clinton"
"46","South Carolina",9,"Trump"
"47","South Dakota",3,"Trump"
"48","Tennessee",11,"Trump"
"49","Texas",38,"Trump"
"50","Utah",6,"Trump"
"51","Vermont",3,"Clinton"
"52","Virginia",13,"Clinton"
"53","Washington",12,"Clinton"
"54","West Virginia",5,"Trump"
"55","Wisconsin",10,"Clinton"
"56","Wyoming",3,"Trump"
